SN,DateTime,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
147,11-05-2021 10:58,Buy,-100,55838.99,55940.09071,2000,0.035834719,0,2000.97454
148,11-05-2021 10:59,Buy,-100,55841.78,55940.09071,2000,0.035834719,0,2001.074519
149,11-05-2021 11:00,Buy,-100,55921.01,55940.09071,2000,0.035834719,0,2003.913704
150,11-05-2021 11:01,Buy,-100,55896.08,55940.09071,2000,0.035834719,0,2003.020344
151,11-05-2021 11:02,Buy,-100,55877.39,55940.09071,2000,0.035834719,0,2002.350593
152,11-05-2021 11:03,Buy,-100,55860.01,55940.09071,2000,0.035834719,0,2001.727786
153,11-05-2021 11:04,Sell,2000,55944.55,55940.09071,2.27E-13,8.50E-05,2000,2004.757253
154,11-05-2021 11:05,Buy,-100,55859.98,0,100,0.001875226,1900,2004.750062
155,11-05-2021 11:06,Buy,-100,55772.13,55859.98,200,0.003668236,1800,2004.585323
156,11-05-2021 11:07,Buy,-100,55704.09,55816.02043,300,0.005463436,1700,2004.335736
157,11-05-2021 11:08,Buy,-100,55673.91,55778.66034,400,0.00725961,1600,2004.17085
158,11-05-2021 11:09,Buy,-100,55705.74,55752.43582,500,0.009054757,1500,2004.401923
159,11-05-2021 11:10,Buy,-100,55669.15,55743.09039,600,0.010851084,1400,2004.07061
160,11-05-2021 11:11,Buy,-100,55664.65,55730.75336,700,0.012647556,1300,2004.02178
161,11-05-2021 11:12,Buy,-100,55707.62,55721.30041,800,0.014442643,1200,2004.565245
162,11-05-2021 11:13,Sell,800,55723.07,55719.58999,2.27E-13,8.59E-05,2000,2004.788384
163,11-05-2021 11:14,Buy,-100,55670,0,100,0.001882231,1900,2004.783824
164,11-05-2021 11:15,Sell,100,55726.7,55670,2.27E-13,8.78E-05,2000,2004.890546
165,11-05-2021 11:16,Buy,-100,55734.18,0,100,0.001881991,1900,2004.891203
166,11-05-2021 11:17,Sell,100,55747.88,55734.18,2.27E-13,8.82E-05,2000,2004.916986
167,11-05-2021 11:18,Buy,-100,55783.62,0,100,0.001880841,1900,2004.920138
168,11-05-2021 11:19,Sell,100,55815.48,55783.62,2.27E-13,8.92E-05,2000,2004.980062
169,11-05-2021 11:20,Buy,-100,55857.54,0,100,0.001879492,1900,2004.983815
170,11-05-2021 11:21,Sell,100,55870.78,55857.54,2.27E-13,8.96E-05,2000,2005.008699
171,11-05-2021 11:22,Buy,-100,55935.58,0,100,0.001877419,1900,2005.014508
172,11-05-2021 11:23,Buy,-100,55903.39,55935.58,200,0.003666219,1800,2004.954074
173,11-05-2021 11:24,Sell,200,55932.41,55919.48037,2.27E-13,9.05E-05,2000,2005.060468
,,,,,,,,,
